D³ugoœæ;G³êbokoœæ;Wysokoœæ;;Cena katalogowa 2022;Cena katalogowa 11.2021;Ró¿nica 11.2021-12.2021;;
1300;800;850;3040.138;5140;3910;31;3040;
1400;800;850;3040.148;5618;4294;31;3040;
1500;800;850;3040.158;5851;4460;31;3040;
1600;800;850;3040.168;6085;4625;32;3040;
1700;800;850;3040.178;6418;4861;32;3040;
1800;800;850;3040.188;6657;5031;32;3040;
1900;800;850;3040.198;7201;5479;31;3040;
2000;800;850;3040.208;7506;5695;32;3040;
2100;800;850;3040.218;7745;5865;32;3040;
2200;800;850;3040.228;7984;6034;32;3040;
2300;800;850;3040.238;8223;6204;33;3040;
2400;800;850;3040.248;8462;6373;33;3040;
800;600;850;3020.086;3590;2831;27;3020;
900;600;850;3020.096;3809;2989;27;3020;
1000;600;850;3020.106;4029;3148;28;3020;
1100;600;850;3020.116;4249;3307;28;3020;
1200;600;850;3020.126;4469;3466;29;3020;
1300;600;850;3020.136;4688;3624;29;3020;
1400;600;850;3020.146;4908;3783;30;3020;
1500;600;850;3020.156;5127;3941;30;3020;
1600;600;850;3020.166;5441;4168;31;3020;
1700;600;850;3020.176;5667;4331;31;3020;
1800;600;850;3020.186;5892;4494;31;3020;
1900;600;850;3020.196;6118;4657;31;3020;
2000;600;850;3020.206;6390;4853;32;3020;
2100;600;850;3020.216;7321;5626;30;3020;
2200;600;850;3020.226;7541;5785;30;3020;
2300;600;850;3020.236;7761;5944;31;3020;
2400;600;850;3020.246;7980;6102;31;3020;
2500;600;850;3020.256;8200;6261;31;3020;
2600;600;850;3020.266;8420;6420;31;3020;
2700;600;850;3020.276;8640;6578;31;3020;
2800;600;850;3020.286;8859;6737;31;3020;
2900;600;850;3020.296;9079;6896;32;3020;
800;700;850;3020.087;3765;2957;27;3020;
900;700;850;3020.097;3996;3124;28;3020;
1000;700;850;3020.107;4227;3291;28;3020;
1100;700;850;3020.117;4458;3458;29;3020;
1200;700;850;3020.127;4689;3625;29;3020;
1300;700;850;3020.137;4920;3792;30;3020;
1400;700;850;3020.147;5151;3959;30;3020;
1500;700;850;3020.157;5383;4126;30;3020;
1600;700;850;3020.167;5708;4361;31;3020;
1700;700;850;3020.177;5945;4532;31;3020;
1800;700;850;3020.187;6182;4703;31;3020;
1900;700;850;3020.197;6419;4875;32;3020;
2000;700;850;3020.207;6713;5086;32;3020;
2100;700;850;3020.217;7589;5798;31;3020;
2200;700;850;3020.227;7848;5985;31;3020;
2300;700;850;3020.237;8079;6152;31;3020;
2400;700;850;3020.247;8310;6318;32;3020;
2500;700;850;3020.257;8541;6485;32;3020;
2600;700;850;3020.267;8772;6652;32;3020;
2700;700;850;3020.277;9003;6819;32;3020;
2800;700;850;3020.287;9235;6986;32;3020;
2900;700;850;3020.297;9466;7153;32;3020;
800;800;850;3020.088;3985;3116;28;3020;
900;800;850;3020.098;4233;3296;28;3020;
1000;800;850;3020.108;4482;3475;29;3020;
1100;800;850;3020.118;4730;3654;29;3020;
1200;800;850;3020.128;4978;3834;30;3020;
1300;800;850;3020.138;5227;4013;30;3020;
1400;800;850;3020.148;5475;4193;31;3020;
1500;800;850;3020.158;5724;4372;31;3020;
1600;800;850;3020.168;6067;4620;31;3020;
1700;800;850;3020.178;6321;4803;32;3020;
1800;800;850;3020.188;6575;4987;32;3020;
1900;800;850;3020.198;6830;5171;32;3020;
2000;800;850;3020.208;7150;5402;32;3020;
2100;800;850;3020.218;8164;6235;31;3020;
2200;800;850;3020.228;8413;6415;31;3020;
2300;800;850;3020.238;8661;6594;31;3020;
2400;800;850;3020.248;8909;6773;32;3020;
2500;800;850;3020.258;9158;6953;32;3020;
2600;800;850;3020.268;9406;7132;32;3020;
2700;800;850;3020.278;9655;7312;32;3020;
2800;800;850;3020.288;9903;7491;32;3020;
2900;800;850;3020.298;10152;7671;32;3020;
800;600;850;3020.086-P;4240;3462;22;3020;
900;600;850;3020.096-P;4490;3648;23;3020;
1000;600;850;3020.106-P;4742;3835;24;3020;
1100;600;850;3020.116-P;4992;4021;24;3020;
1200;600;850;3020.126-P;5243;4207;25;3020;
1300;600;850;3020.136-P;5494;4394;25;3020;
1400;600;850;3020.146-P;5745;4580;25;3020;
1500;600;850;3020.156-P;5996;4766;26;3020;
1600;600;850;3020.166-P;6341;5022;26;3020;
1700;600;850;3020.176-P;6598;5213;27;3020;
1800;600;850;3020.186-P;6854;5404;27;3020;
1900;600;850;3020.196-P;7111;5594;27;3020;
2000;600;850;3020.206-P;7726;6051;28;3020;
2100;600;850;3020.216-P;8575;6814;26;3020;
2200;600;850;3020.226-P;8826;7000;26;3020;
2300;600;850;3020.236-P;9077;7186;26;3020;
2400;600;850;3020.246-P;9328;7373;27;3020;
2500;600;850;3020.256-P;9579;7559;27;3020;
2600;600;850;3020.266-P;9830;7745;27;3020;
2700;600;850;3020.276-P;10081;7932;27;3020;
2800;600;850;3020.286-P;10331;8118;27;3020;
2900;600;850;3020.296-P;10583;8304;27;3020;
800;700;850;3020.087-P;4414;3592;23;3020;
900;700;850;3020.097-P;4677;3787;24;3020;
1000;700;850;3020.107-P;4940;3982;24;3020;
1100;700;850;3020.117-P;5202;4176;25;3020;
1200;700;850;3020.127-P;5464;4371;25;3020;
1300;700;850;3020.137-P;5726;4566;25;3020;
1400;700;850;3020.147-P;5989;4761;26;3020;
1500;700;850;3020.157-P;6251;4956;26;3020;
1600;700;850;3020.167-P;6608;5220;27;3020;
1700;700;850;3020.177-P;6876;5420;27;3020;
1800;700;850;3020.187-P;7144;5619;27;3020;
1900;700;850;3020.197-P;7413;5818;27;3020;
2000;700;850;3020.207-P;8075;6310;28;3020;
2100;700;850;3020.217-P;8925;7071;26;3020;
2200;700;850;3020.227-P;9187;7266;26;3020;
2300;700;850;3020.237-P;9450;7461;27;3020;
2400;700;850;3020.247-P;9712;7656;27;3020;
2500;700;850;3020.257-P;9975;7850;27;3020;
2600;700;850;3020.267-P;10237;8045;27;3020;
2700;700;850;3020.277-P;10499;8240;27;3020;
2800;700;850;3020.287-P;10762;8435;28;3020;
2900;700;850;3020.297-P;11024;8630;28;3020;
800;800;850;3020.088-P;4635;3756;23;3020;
900;800;850;3020.098-P;4915;3963;24;3020;
1000;800;850;3020.108-P;5194;4171;25;3020;
1100;800;850;3020.118-P;5474;4379;25;3020;
1200;800;850;3020.128-P;5754;4586;25;3020;
1300;800;850;3020.138-P;6034;4794;26;3020;
1400;800;850;3020.148-P;6313;5002;26;3020;
1500;800;850;3020.158-P;6593;5209;27;3020;
1600;800;850;3020.168-P;6967;5487;27;3020;
1700;800;850;3020.178-P;7252;5699;27;3020;
1800;800;850;3020.188-P;7538;5911;28;3020;
1900;800;850;3020.198-P;7823;6123;28;3020;
2000;800;850;3020.208-P;8540;6655;28;3020;
2100;800;850;3020.218-P;9418;7440;27;3020;
2200;800;850;3020.228-P;9698;7647;27;3020;
2300;800;850;3020.238-P;9977;7855;27;3020;
2400;800;850;3020.248-P;10257;8063;27;3020;
2500;800;850;3020.258-P;10537;8270;27;3020;
2600;800;850;3020.268-P;10816;8478;28;3020;
2700;800;850;3020.278-P;11096;8686;28;3020;
2800;800;850;3020.288-P;11376;8893;28;3020;
2900;800;850;3020.298-P;11656;9101;28;3020;
400;600;850;3080-2.046;3346;2600;29;3080;
500;600;850;3080-2.056;3457;2677;29;3080;
600;600;850;3080-2.066;3591;2770;30;3080;
400;700;850;3080-2.047;3574;2759;30;3080;
500;700;850;3080-2.057;3693;2841;30;3080;
600;700;850;3080-2.067;3840;2944;30;3080;
400;800;850;3080-2.048;3803;2918;30;3080;
500;800;850;3080-2.058;3929;3005;31;3080;
600;800;850;3080-2.068;4089;3117;31;3080;
400;600;850;3080-3.046;3854;3018;28;3080;
500;600;850;3080-3.056;3965;3096;28;3080;
600;600;850;3080-3.066;4098;3188;29;3080;
400;700;850;3080-3.047;4106;3193;29;3080;
500;700;850;3080-3.057;4224;3275;29;3080;
600;700;850;3080-3.067;4371;3378;29;3080;
400;800;850;3080-3.048;4357;3368;29;3080;
500;800;850;3080-3.058;4483;3455;30;3080;
600;800;850;3080-3.068;4643;3567;30;3080;
400;600;850;3080-4.046;4354;3430;27;3080;
500;600;850;3080-4.056;4464;3507;27;3080;
600;600;850;3080-4.066;4598;3600;28;3080;
400;700;850;3080-4.047;4627;3621;28;3080;
500;700;850;3080-4.057;4746;3703;28;3080;
600;700;850;3080-4.067;4893;3805;29;3080;
400;800;850;3080-4.048;4901;3811;29;3080;
500;800;850;3080-4.058;5027;3899;29;3080;
600;800;850;3080-4.068;5188;4010;29;3080;
800;600;850;3007.086;4604;3604;28;3007;
900;600;850;3007.096;4789;3735;28;3007;
1000;600;850;3007.106;4953;3851;29;3007;
1100;600;850;3007.116;5116;3967;29;3007;
1200;600;850;3007.126;5279;4083;29;3007;
1300;600;850;3007.136;5443;4198;30;3007;
1400;600;850;3007.146;5606;4314;30;3007;
1500;600;850;3007.156;5770;4430;30;3007;
1600;600;850;3007.166;5933;4546;31;3007;
1700;600;850;3007.176;6096;4661;31;3007;
1800;600;850;3007.186;6259;4777;31;3007;
1900;600;850;3007.196;6423;4893;31;3007;
2000;600;850;3007.206;6675;5079;31;3007;
2100;600;850;3007.216;6963;5288;32;3007;
2200;600;850;3007.226;7132;5408;32;3007;
2300;600;850;3007.236;7301;5527;32;3007;
2400;600;850;3007.246;7471;5648;32;3007;
800;700;850;3007.087;4787;3734;28;3007;
900;700;850;3007.097;4985;3874;29;3007;
1000;700;850;3007.107;5160;3998;29;3007;
1100;700;850;3007.117;5334;4122;29;3007;
1200;700;850;3007.127;5509;4245;30;3007;
1300;700;850;3007.137;5684;4369;30;3007;
1400;700;850;3007.147;5859;4493;30;3007;
1500;700;850;3007.157;6034;4617;31;3007;
1600;700;850;3007.167;6209;4741;31;3007;
1700;700;850;3007.177;6383;4865;31;3007;
1800;700;850;3007.187;6558;4989;31;3007;
1900;700;850;3007.197;6733;5113;32;3007;
2000;700;850;3007.207;7006;5314;32;3007;
2100;700;850;3007.217;7306;5531;32;3007;
2200;700;850;3007.227;7487;5659;32;3007;
2300;700;850;3007.237;7667;5787;32;3007;
2400;700;850;3007.247;7849;5915;33;3007;
800;800;850;3007.088;5017;3896;29;3007;
900;800;850;3007.098;5231;4049;29;3007;
1000;800;850;3007.108;5423;4184;30;3007;
1100;800;850;3007.118;5615;4321;30;3007;
1200;800;850;3007.128;5807;4457;30;3007;
1300;800;850;3007.138;6000;4593;31;3007;
1400;800;850;3007.148;6192;4729;31;3007;
1500;800;850;3007.158;6384;4865;31;3007;
1600;800;850;3007.168;6576;5002;31;3007;
1700;800;850;3007.178;6768;5138;32;3007;
1800;800;850;3007.188;6960;5274;32;3007;
1900;800;850;3007.198;7153;5410;32;3007;
2000;800;850;3007.208;7453;5631;32;3007;
2100;800;850;3007.218;7770;5860;33;3007;
2200;800;850;3007.228;7968;6000;33;3007;
2300;800;850;3007.238;8166;6140;33;3007;
2400;800;850;3007.248;8364;6281;33;3007;
800;600;850;3009.086;5100;4022;27;3009;
900;600;850;3009.096;5286;4153;27;3009;
1000;600;850;3009.106;5449;4269;28;3009;
1100;600;850;3009.116;5613;4385;28;3009;
1200;600;850;3009.126;5776;4501;28;3009;
1300;600;850;3009.136;5940;4616;29;3009;
1400;600;850;3009.146;6103;4732;29;3009;
1500;600;850;3009.156;6266;4848;29;3009;
1600;600;850;3009.166;6430;4964;30;3009;
1700;600;850;3009.176;6593;5079;30;3009;
1800;600;850;3009.186;6756;5195;30;3009;
1900;600;850;3009.196;6920;5311;30;3009;
2000;600;850;3009.206;7171;5497;30;3009;
2100;600;850;3009.216;7460;5706;31;3009;
2200;600;850;3009.226;7629;5826;31;3009;
2300;600;850;3009.236;7798;5946;31;3009;
2400;600;850;3009.246;7968;6066;31;3009;
800;700;850;3009.087;5284;4152;27;3009;
900;700;850;3009.097;5481;4292;28;3009;
1000;700;850;3009.107;5656;4416;28;3009;
1100;700;850;3009.117;5831;4540;28;3009;
1200;700;850;3009.127;6006;4663;29;3009;
1300;700;850;3009.137;6181;4787;29;3009;
1400;700;850;3009.147;6355;4911;29;3009;
1500;700;850;3009.157;6530;5035;30;3009;
1600;700;850;3009.167;6705;5159;30;3009;
1700;700;850;3009.177;6880;5283;30;3009;
1800;700;850;3009.187;7055;5407;30;3009;
1900;700;850;3009.197;7230;5531;31;3009;
2000;700;850;3009.207;7503;5732;31;3009;
2100;700;850;3009.217;7803;5949;31;3009;
2200;700;850;3009.227;7984;6077;31;3009;
2300;700;850;3009.237;8165;6205;32;3009;
2400;700;850;3009.247;8345;6333;32;3009;
800;800;850;3009.088;5513;4315;28;3009;
900;800;850;3009.098;5728;4467;28;3009;
1000;800;850;3009.108;5920;4603;29;3009;
1100;800;850;3009.118;6112;4739;29;3009;
1200;800;850;3009.128;6304;4875;29;3009;
1300;800;850;3009.138;6496;5011;30;3009;
1400;800;850;3009.148;6689;5147;30;3009;
1500;800;850;3009.158;6881;5284;30;3009;
1600;800;850;3009.168;7073;5420;31;3009;
1700;800;850;3009.178;7265;5556;31;3009;
1800;800;850;3009.188;7457;5692;31;3009;
1900;800;850;3009.198;7649;5828;31;3009;
2000;800;850;3009.208;7950;6049;31;3009;
2100;800;850;3009.218;8267;6278;32;3009;
2200;800;850;3009.228;8465;6418;32;3009;
2300;800;850;3009.238;8663;6558;32;3009;
2400;800;850;3009.248;8861;6699;32;3009;
800;600;850;3011.086;5517;4383;26;3011;
900;600;850;3011.096;5686;4503;26;3011;
1000;600;850;3011.106;5833;4607;27;3011;
1100;600;850;3011.116;5980;4711;27;3011;
1200;600;850;3011.126;6127;4816;27;3011;
1300;600;850;3011.136;6274;4920;28;3011;
1400;600;850;3011.146;6421;5024;28;3011;
1500;600;850;3011.156;6568;5128;28;3011;
1600;600;850;3011.166;6715;5232;28;3011;
1700;600;850;3011.176;6862;5336;29;3011;
1800;600;850;3011.186;7009;5440;29;3011;
1900;600;850;3011.196;7156;5545;29;3011;
2000;600;850;3011.206;7391;5719;29;3011;
2100;600;850;3011.216;7757;5983;30;3011;
2200;600;850;3011.226;7916;6095;30;3011;
2300;600;850;3011.236;8074;6207;30;3011;
2400;600;850;3011.246;8233;6320;30;3011;
800;700;850;3011.087;5701;4513;26;3011;
900;700;850;3011.097;5882;4642;27;3011;
1000;700;850;3011.107;6040;4754;27;3011;
1100;700;850;3011.117;6198;4866;27;3011;
1200;700;850;3011.127;6357;4979;28;3011;
1300;700;850;3011.137;6515;5091;28;3011;
1400;700;850;3011.147;6674;5203;28;3011;
1500;700;850;3011.157;6832;5315;29;3011;
1600;700;850;3011.167;6991;5428;29;3011;
1700;700;850;3011.177;7149;5540;29;3011;
1800;700;850;3011.187;7308;5652;29;3011;
1900;700;850;3011.197;7466;5764;30;3011;
2000;700;850;3011.207;7723;5954;30;3011;
2100;700;850;3011.217;8101;6226;30;3011;
2200;700;850;3011.227;8271;6347;30;3011;
2300;700;850;3011.237;8441;6467;31;3011;
2400;700;850;3011.247;8610;6587;31;3011;
800;800;850;3011.088;5930;4676;27;3011;
900;800;850;3011.098;6128;4816;27;3011;
1000;800;850;3011.108;6304;4941;28;3011;
1100;800;850;3011.118;6480;5065;28;3011;
1200;800;850;3011.128;6656;5190;28;3011;
1300;800;850;3011.138;6831;5314;29;3011;
1400;800;850;3011.148;7007;5439;29;3011;
1500;800;850;3011.158;7183;5564;29;3011;
1600;800;850;3011.168;7358;5688;29;3011;
1700;800;850;3011.178;7534;5813;30;3011;
1800;800;850;3011.188;7710;5937;30;3011;
1900;800;850;3011.198;7885;6062;30;3011;
2000;800;850;3011.208;8169;6271;30;3011;
2100;800;850;3011.218;8564;6555;31;3011;
2200;800;850;3011.228;8752;6688;31;3011;
2300;800;850;3011.238;8939;6820;31;3011;
2400;800;850;3011.248;9126;6953;31;3011;
800;600;850;3047.086;5089;4017;27;3047;
900;600;850;3047.096;5293;4162;27;3047;
1000;600;850;3047.106;5498;4307;28;3047;
1100;600;850;3047.116;5973;4707;27;3047;
1200;600;850;3047.126;6177;4852;27;3047;
1300;600;850;3047.136;6382;4998;28;3047;
1400;600;850;3047.146;6586;5142;28;3047;
1500;600;850;3047.156;6805;5297;28;3047;
1600;600;850;3047.166;6995;5432;29;3047;
1700;600;850;3047.176;7199;5577;29;3047;
1800;600;850;3047.186;7699;5995;28;3047;
1900;600;850;3047.196;7903;6140;29;3047;
2000;600;850;3047.206;8290;6422;29;3047;
2100;600;850;3047.216;8525;6593;29;3047;
2200;600;850;3047.226;8736;6742;30;3047;
2300;600;850;3047.236;9216;7147;29;3047;
2400;600;850;3047.246;9427;7296;29;3047;
800;700;850;3047.087;5307;4176;27;3047;
900;700;850;3047.097;5523;4329;28;3047;
1000;700;850;3047.107;5739;4482;28;3047;
1100;700;850;3047.117;6090;4754;28;3047;
1200;700;850;3047.127;6305;4907;29;3047;
1300;700;850;3047.137;6522;5060;29;3047;
1400;700;850;3047.147;6823;5296;29;3047;
1500;700;850;3047.157;7038;5449;29;3047;
1600;700;850;3047.167;7254;5602;29;3047;
1700;700;850;3047.177;7470;5755;30;3047;
1800;700;850;3047.187;7845;6044;30;3047;
1900;700;850;3047.197;8165;6298;30;3047;
2000;700;850;3047.207;8573;6595;30;3047;
2100;700;850;3047.217;8819;6774;30;3047;
2200;700;850;3047.227;9041;6931;30;3047;
2300;700;850;3047.237;9398;7207;30;3047;
2400;700;850;3047.247;9620;7364;31;3047;
800;800;850;3047.088;5537;4339;28;3047;
900;800;850;3047.098;5770;4504;28;3047;
1000;800;850;3047.108;6003;4669;29;3047;
1100;800;850;3047.118;6371;4953;29;3047;
1200;800;850;3047.128;6604;5118;29;3047;
1300;800;850;3047.138;6837;5284;29;3047;
1400;800;850;3047.148;7156;5532;29;3047;
1500;800;850;3047.158;7389;5697;30;3047;
1600;800;850;3047.168;7622;5862;30;3047;
1700;800;850;3047.178;7855;6028;30;3047;
1800;800;850;3047.188;8247;6329;30;3047;
1900;800;850;3047.198;8584;6595;30;3047;
2000;800;850;3047.208;9019;6911;30;3047;
2100;800;850;3047.218;9283;7103;31;3047;
2200;800;850;3047.228;9522;7272;31;3047;
2300;800;850;3047.238;9896;7560;31;3047;
2400;800;850;3047.248;10135;7730;31;3047;
800;600;850;3049.086;5587;4436;26;3049;
900;600;850;3049.096;5791;4581;26;3049;
1000;600;850;3049.106;5996;4726;27;3049;
1100;600;850;3049.116;6470;5126;26;3049;
1200;600;850;3049.126;6675;5271;27;3049;
1300;600;850;3049.136;6879;5416;27;3049;
1400;600;850;3049.146;7084;5561;27;3049;
1500;600;850;3049.156;7288;5706;28;3049;
1600;600;850;3049.166;7493;5851;28;3049;
1700;600;850;3049.176;7697;5996;28;3049;
1800;600;850;3049.186;8197;6414;28;3049;
1900;600;850;3049.196;8401;6559;28;3049;
2000;600;850;3049.206;8788;6841;28;3049;
2100;600;850;3049.216;9023;7012;29;3049;
2200;600;850;3049.226;9233;7161;29;3049;
2300;600;850;3049.236;9714;7566;28;3049;
2400;600;850;3049.246;9925;7715;29;3049;
800;700;850;3049.087;5805;4595;26;3049;
900;700;850;3049.097;6021;4748;27;3049;
1000;700;850;3049.107;6237;4901;27;3049;
1100;700;850;3049.117;6587;5172;27;3049;
1200;700;850;3049.127;6803;5325;28;3049;
1300;700;850;3049.137;7019;5478;28;3049;
1400;700;850;3049.147;7320;5714;28;3049;
1500;700;850;3049.157;7536;5868;28;3049;
1600;700;850;3049.167;7752;6021;29;3049;
1700;700;850;3049.177;7968;6174;29;3049;
1800;700;850;3049.187;8343;6463;29;3049;
1900;700;850;3049.197;8662;6717;29;3049;
2000;700;850;3049.207;9070;7014;29;3049;
2100;700;850;3049.217;9317;7193;30;3049;
2200;700;850;3049.227;9539;7350;30;3049;
2300;700;850;3049.237;9896;7626;30;3049;
2400;700;850;3049.247;10118;7783;30;3049;
800;800;850;3049.088;6034;4757;27;3049;
900;800;850;3049.098;6267;4922;27;3049;
1000;800;850;3049.108;6501;5088;28;3049;
1100;800;850;3049.118;6869;5372;28;3049;
1200;800;850;3049.128;7102;5537;28;3049;
1300;800;850;3049.138;7335;5702;29;3049;
1400;800;850;3049.148;7653;5951;29;3049;
1500;800;850;3049.158;7886;6116;29;3049;
1600;800;850;3049.168;8120;6281;29;3049;
1700;800;850;3049.178;8353;6446;30;3049;
1800;800;850;3049.188;8745;6748;30;3049;
1900;800;850;3049.198;9082;7014;29;3049;
2000;800;850;3049.208;9517;7330;30;3049;
2100;800;850;3049.218;9781;7521;30;3049;
2200;800;850;3049.228;10020;7691;30;3049;
2300;800;850;3049.238;10394;7979;30;3049;
2400;800;850;3049.248;10633;8148;30;3049;
800;600;850;3051.086;6086;4856;25;3051;
900;600;850;3051.096;6290;5000;26;3051;
1000;600;850;3051.106;6495;5145;26;3051;
1100;600;850;3051.116;6969;5546;26;3051;
1200;600;850;3051.126;7174;5691;26;3051;
1300;600;850;3051.136;7379;5836;26;3051;
1400;600;850;3051.146;7583;5981;27;3051;
1500;600;850;3051.156;7787;6126;27;3051;
1600;600;850;3051.166;7992;6270;27;3051;
1700;600;850;3051.176;8196;6415;28;3051;
1800;600;850;3051.186;8696;6834;27;3051;
1900;600;850;3051.196;8900;6978;28;3051;
2000;600;850;3051.206;9287;7260;28;3051;
2100;600;850;3051.216;9522;7431;28;3051;
2200;600;850;3051.226;9732;7580;28;3051;
2300;600;850;3051.236;10213;7985;28;3051;
2400;600;850;3051.246;10424;8135;28;3051;
800;700;850;3051.087;6304;5015;26;3051;
900;700;850;3051.097;6520;5168;26;3051;
1000;700;850;3051.107;6736;5321;27;3051;
1100;700;850;3051.117;7086;5592;27;3051;
1200;700;850;3051.127;7302;5745;27;3051;
1300;700;850;3051.137;7518;5898;27;3051;
1400;700;850;3051.147;7819;6135;27;3051;
1500;700;850;3051.157;8035;6287;28;3051;
1600;700;850;3051.167;8251;6441;28;3051;
1700;700;850;3051.177;8467;6593;28;3051;
1800;700;850;3051.187;8842;6882;28;3051;
1900;700;850;3051.197;9161;7137;28;3051;
2000;700;850;3051.207;9569;7433;29;3051;
2100;700;850;3051.217;9816;7612;29;3051;
2200;700;850;3051.227;10038;7770;29;3051;
2300;700;850;3051.237;10395;8046;29;3051;
2400;700;850;3051.247;10617;8203;29;3051;
800;800;850;3051.088;6533;5177;26;3051;
900;800;850;3051.098;6767;5343;27;3051;
1000;800;850;3051.108;7000;5508;27;3051;
1100;800;850;3051.118;7368;5792;27;3051;
1200;800;850;3051.128;7601;5957;28;3051;
1300;800;850;3051.138;7834;6122;28;3051;
1400;800;850;3051.148;8152;6371;28;3051;
1500;800;850;3051.158;8385;6536;28;3051;
1600;800;850;3051.168;8619;6701;29;3051;
1700;800;850;3051.178;8852;6866;29;3051;
1800;800;850;3051.188;9244;7167;29;3051;
1900;800;850;3051.198;9581;7434;29;3051;
2000;800;850;3051.208;10016;7750;29;3051;
2100;800;850;3051.218;10280;7941;29;3051;
2200;800;850;3051.228;10519;8111;30;3051;
2300;800;850;3051.238;10893;8399;30;3051;
2400;800;850;3051.248;11132;8568;30;3051;
1200;600;850;3027.126;6075;4710;29;3027;
1300;600;850;3027.136;6295;4866;29;3027;
1400;600;850;3027.146;6515;5022;30;3027;
1500;600;850;3027.156;6734;5177;30;3027;
1600;600;850;3027.166;6954;5333;30;3027;
1700;600;850;3027.176;7174;5489;31;3027;
1800;600;850;3027.186;7394;5645;31;3027;
1900;600;850;3027.196;7613;5800;31;3027;
2000;600;850;3027.206;8015;6093;32;3027;
2100;600;850;3027.216;8266;6275;32;3027;
2200;600;850;3027.226;8491;6434;32;3027;
2300;600;850;3027.236;8717;6594;32;3027;
2400;600;850;3027.246;8943;6754;32;3027;
1200;700;850;3027.127;6305;4873;29;3027;
1300;700;850;3027.137;6536;5037;30;3027;
1400;700;850;3027.147;6768;5201;30;3027;
1500;700;850;3027.157;6999;5365;30;3027;
1600;700;850;3027.167;7230;5528;31;3027;
1700;700;850;3027.177;7461;5692;31;3027;
1800;700;850;3027.187;7692;5856;31;3027;
1900;700;850;3027.197;7942;6038;32;3027;
2000;700;850;3027.207;8365;6346;32;3027;
2100;700;850;3027.217;8627;6536;32;3027;
2200;700;850;3027.227;8864;6704;32;3027;
2300;700;850;3027.237;9101;6872;32;3027;
2400;700;850;3027.247;9338;7040;33;3027;
1200;800;850;3027.128;6604;5085;30;3027;
1300;800;850;3027.138;6852;5261;30;3027;
1400;800;850;3027.148;7101;5437;31;3027;
1500;800;850;3027.158;7349;5613;31;3027;
1600;800;850;3027.168;7598;5789;31;3027;
1700;800;850;3027.178;7846;5965;32;3027;
1800;800;850;3027.188;8094;6141;32;3027;
1900;800;850;3027.198;8361;6335;32;3027;
2000;800;850;3027.208;8812;6662;32;3027;
2100;800;850;3027.218;9091;6865;32;3027;
2200;800;850;3027.228;9346;7045;33;3027;
2300;800;850;3027.238;9600;7225;33;3027;
2400;800;850;3027.248;9854;7405;33;3027;
1200;600;850;3029.126;6543;5108;28;3029;
1300;600;850;3029.136;6763;5264;28;3029;
1400;600;850;3029.146;6983;5419;29;3029;
1500;600;850;3029.156;7202;5575;29;3029;
1600;600;850;3029.166;7422;5731;30;3029;
1700;600;850;3029.176;7642;5886;30;3029;
1800;600;850;3029.186;7861;6042;30;3029;
1900;600;850;3029.196;8081;6198;30;3029;
2000;600;850;3029.206;8483;6490;31;3029;
2100;600;850;3029.216;8733;6672;31;3029;
2200;600;850;3029.226;8959;6832;31;3029;
2300;600;850;3029.236;9185;6992;31;3029;
2400;600;850;3029.246;9411;7152;32;3029;
1200;700;850;3029.127;6773;5271;29;3029;
1300;700;850;3029.137;7004;5435;29;3029;
1400;700;850;3029.147;7235;5598;29;3029;
1500;700;850;3029.157;7466;5762;30;3029;
1600;700;850;3029.167;7698;5926;30;3029;
1700;700;850;3029.177;7929;6090;30;3029;
1800;700;850;3029.187;8160;6254;30;3029;
1900;700;850;3029.197;8409;6435;31;3029;
2000;700;850;3029.207;8833;6744;31;3029;
2100;700;850;3029.217;9095;6933;31;3029;
2200;700;850;3029.227;9332;7101;31;3029;
2300;700;850;3029.237;9569;7269;32;3029;
2400;700;850;3029.247;9806;7437;32;3029;
1200;800;850;3029.128;7071;5482;29;3029;
1300;800;850;3029.138;7320;5659;29;3029;
1400;800;850;3029.148;7568;5834;30;3029;
1500;800;850;3029.158;7817;6011;30;3029;
1600;800;850;3029.168;8065;6187;30;3029;
1700;800;850;3029.178;8314;6363;31;3029;
1800;800;850;3029.188;8562;6539;31;3029;
1900;800;850;3029.198;8829;6733;31;3029;
2000;800;850;3029.208;9279;7060;31;3029;
2100;800;850;3029.218;9559;7262;32;3029;
2200;800;850;3029.228;9813;7442;32;3029;
2300;800;850;3029.238;10068;7623;32;3029;
2400;800;850;3029.248;10322;7803;32;3029;
1200;600;850;3031.126;7121;5584;28;3031;
1300;600;850;3031.136;7346;5743;28;3031;
1400;600;850;3031.146;7570;5902;28;3031;
1500;600;850;3031.156;7795;6061;29;3031;
1600;600;850;3031.166;8019;6220;29;3031;
1700;600;850;3031.176;8244;6379;29;3031;
1800;600;850;3031.186;8469;6539;30;3031;
1900;600;850;3031.196;8693;6697;30;3031;
2000;600;850;3031.206;9100;6994;30;3031;
2100;600;850;3031.216;9355;7179;30;3031;
2200;600;850;3031.226;9586;7342;31;3031;
2300;600;850;3031.236;9816;7505;31;3031;
2400;600;850;3031.246;10046;7669;31;3031;
1200;700;850;3031.127;7351;5747;28;3031;
1300;700;850;3031.137;7587;5914;28;3031;
1400;700;850;3031.147;7823;6081;29;3031;
1500;700;850;3031.157;8059;6248;29;3031;
1600;700;850;3031.167;8295;6416;29;3031;
1700;700;850;3031.177;8531;6583;30;3031;
1800;700;850;3031.187;8767;6750;30;3031;
